,pid,package,dayofstudy,loyalty,regularity,duration,duration_mean,duration_std,duration_min,duration_max,betweenlaunch_duration_mean,betweenlaunch_duration_std
251,1005,dailyfeats,6.0,1,1,68,68.0,0.0,68,68,-1.0,-1.0
252,1005,dailyfeats,7.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
253,1005,dailyfeats,8.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
254,1005,icope,7.0,1,1,8,8.0,0.0,8,8,-1.0,-1.0
255,1005,mantra,7.0,1,1,93,93.0,0.0,93,93,-1.0,-1.0
256,1005,mantra,8.0,1,1,102,102.0,0.0,102,102,-1.0,-1.0
257,1005,mantra,19.0,1,1,22,22.0,0.0,22,22,-1.0,-1.0
258,1005,messages,7.0,5,3,159,32.0,54.0,0,125,10425.0,8276.0
259,1005,messages,9.0,3,3,190,63.0,110.0,0,190,21570.0,42.0
260,1005,messages,8.0,2,1,48,24.0,34.0,0,48,120.0,-1.0
261,1005,messages,10.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
262,1005,messages,17.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
263,1013,aspire,16.0,2,1,157,78.0,18.0,66,91,1200.0,-1.0
264,1013,aspire,17.0,1,1,169,169.0,0.0,169,169,-1.0,-1.0
265,1013,dailyfeats,9.0,3,2,283,94.0,81.0,4,159,8790.0,10479.0
266,1013,dailyfeats,10.0,2,1,0,0.0,0.0,0,0,120.0,-1.0
267,1013,dailyfeats,11.0,2,1,140,70.0,99.0,0,140,2640.0,-1.0
268,1013,dailyfeats,12.0,2,1,49,24.0,35.0,0,49,120.0,-1.0
269,1013,messages,17.0,4,2,73,18.0,36.0,0,73,7280.0,6097.0
270,1013,messages,16.0,1,1,83,83.0,0.0,83,83,-1.0,-1.0
271,1013,relax,10.0,3,2,269,90.0,6.0,83,94,8340.0,11370.0
272,1013,relax,9.0,1,1,34,34.0,0.0,34,34,-1.0,-1.0
273,1013,slumbertime,28.0,1,1,137,137.0,0.0,137,137,-1.0,-1.0
274,1014,aspire,25.0,3,2,178,59.0,93.0,0,166,9960.0,13407.0
275,1014,aspire,32.0,3,2,214,71.0,68.0,6,142,20520.0,28086.0
276,1014,aspire,27.0,2,1,156,78.0,69.0,29,127,4320.0,-1.0
277,1014,aspire,28.0,2,2,103,52.0,21.0,37,66,77940.0,-1.0
278,1014,aspire,38.0,2,1,277,138.0,36.0,113,164,1200.0,-1.0
279,1014,aspire,31.0,1,1,15,15.0,0.0,15,15,-1.0,-1.0
280,1014,aspire,36.0,1,1,153,153.0,0.0,153,153,-1.0,-1.0
281,1014,aspire,41.0,1,1,3,3.0,0.0,3,3,-1.0,-1.0
282,1014,boostme,9.0,6,2,494,82.0,24.0,42,111,8112.0,17502.0
283,1014,boostme,27.0,5,2,242,48.0,48.0,4,124,3240.0,2788.0
284,1014,boostme,38.0,5,2,214,43.0,35.0,9,81,3900.0,4858.0
285,1014,boostme,14.0,3,2,115,38.0,37.0,14,81,7140.0,9928.0
286,1014,boostme,15.0,3,2,275,92.0,76.0,11,162,32490.0,45778.0
287,1014,boostme,28.0,3,2,106,35.0,42.0,2,82,8160.0,11370.0
288,1014,boostme,12.0,2,1,27,14.0,9.0,7,20,120.0,-1.0
289,1014,boostme,16.0,2,1,143,72.0,15.0,61,82,180.0,-1.0
290,1014,boostme,19.0,2,2,16,8.0,8.0,2,14,5940.0,-1.0
291,1014,boostme,21.0,2,2,139,70.0,91.0,5,134,62280.0,-1.0
292,1014,boostme,22.0,2,2,218,109.0,27.0,90,128,61320.0,-1.0
293,1014,boostme,23.0,2,1,201,100.0,64.0,55,146,480.0,-1.0
294,1014,boostme,24.0,2,2,251,126.0,84.0,66,185,4620.0,-1.0
295,1014,boostme,32.0,2,2,235,118.0,25.0,100,135,43800.0,-1.0
296,1014,boostme,36.0,2,1,277,138.0,43.0,108,169,240.0,-1.0
297,1014,boostme,39.0,2,2,242,121.0,48.0,87,155,1920.0,-1.0
298,1014,boostme,45.0,2,2,120,60.0,74.0,8,112,51600.0,-1.0
299,1014,boostme,6.0,1,1,177,177.0,0.0,177,177,-1.0,-1.0
300,1014,boostme,7.0,1,1,185,185.0,0.0,185,185,-1.0,-1.0
301,1014,boostme,10.0,1,1,5,5.0,0.0,5,5,-1.0,-1.0
302,1014,boostme,11.0,1,1,133,133.0,0.0,133,133,-1.0,-1.0
303,1014,boostme,17.0,1,1,4,4.0,0.0,4,4,-1.0,-1.0
304,1014,boostme,18.0,1,1,133,133.0,0.0,133,133,-1.0,-1.0
305,1014,boostme,30.0,1,1,70,70.0,0.0,70,70,-1.0,-1.0
306,1014,boostme,35.0,1,1,2,2.0,0.0,2,2,-1.0,-1.0
307,1014,boostme,40.0,1,1,28,28.0,0.0,28,28,-1.0,-1.0
308,1014,boostme,41.0,1,1,70,70.0,0.0,70,70,-1.0,-1.0
309,1014,boostme,47.0,1,1,102,102.0,0.0,102,102,-1.0,-1.0
310,1014,boostme,48.0,1,1,72,72.0,0.0,72,72,-1.0,-1.0
311,1014,dailyfeats,1.0,6,2,439,73.0,56.0,0,138,12900.0,28476.0
312,1014,dailyfeats,15.0,5,2,148,30.0,37.0,0,90,13995.0,24505.0
313,1014,dailyfeats,17.0,5,2,142,28.0,36.0,0,90,20985.0,28834.0
314,1014,dailyfeats,21.0,5,3,206,41.0,51.0,0,99,18990.0,14643.0
315,1014,dailyfeats,2.0,4,2,394,98.0,89.0,13,180,24480.0,36548.0
316,1014,dailyfeats,10.0,4,2,167,42.0,59.0,0,127,18420.0,21768.0
317,1014,dailyfeats,12.0,4,3,177,44.0,84.0,0,170,22900.0,28679.0
318,1014,dailyfeats,19.0,4,3,129,32.0,35.0,2,74,22920.0,34568.0
319,1014,dailyfeats,32.0,4,2,273,68.0,79.0,0,139,15040.0,25582.0
320,1014,dailyfeats,7.0,3,1,127,42.0,73.0,0,127,750.0,212.0
321,1014,dailyfeats,8.0,3,1,100,33.0,53.0,2,95,600.0,594.0
322,1014,dailyfeats,13.0,3,2,4,1.0,2.0,0,4,26460.0,34875.0
323,1014,dailyfeats,16.0,3,3,102,34.0,14.0,23,50,27780.0,15358.0
324,1014,dailyfeats,20.0,3,2,57,19.0,18.0,0,35,35040.0,46924.0
325,1014,dailyfeats,22.0,3,2,91,30.0,27.0,0,50,32820.0,41408.0
326,1014,dailyfeats,23.0,3,3,65,22.0,20.0,0,38,27330.0,15231.0
327,1014,dailyfeats,25.0,3,3,163,54.0,11.0,42,61,28560.0,13407.0
328,1014,dailyfeats,26.0,3,2,114,38.0,34.0,0,64,27930.0,29911.0
329,1014,dailyfeats,28.0,3,2,152,51.0,45.0,0,85,37740.0,44208.0
330,1014,dailyfeats,33.0,3,3,227,76.0,70.0,0,138,38550.0,21595.0
331,1014,dailyfeats,41.0,3,2,314,105.0,93.0,3,185,37470.0,51463.0
332,1014,dailyfeats,42.0,3,2,130,43.0,43.0,2,87,32490.0,45608.0
333,1014,dailyfeats,45.0,3,2,185,62.0,40.0,16,91,25830.0,36444.0
334,1014,dailyfeats,4.0,2,2,0,0.0,0.0,0,0,75120.0,-1.0
335,1014,dailyfeats,5.0,2,2,61,30.0,43.0,0,61,66900.0,-1.0
336,1014,dailyfeats,9.0,2,2,68,34.0,48.0,0,68,16860.0,-1.0
337,1014,dailyfeats,14.0,2,2,130,65.0,49.0,30,100,51600.0,-1.0
338,1014,dailyfeats,18.0,2,2,92,46.0,6.0,42,50,58980.0,-1.0
339,1014,dailyfeats,24.0,2,2,0,0.0,0.0,0,0,8640.0,-1.0
340,1014,dailyfeats,27.0,2,2,78,39.0,55.0,0,78,62580.0,-1.0
341,1014,dailyfeats,29.0,2,2,3,2.0,2.0,0,3,7260.0,-1.0
342,1014,dailyfeats,31.0,2,2,135,68.0,95.0,0,135,57180.0,-1.0
343,1014,dailyfeats,34.0,2,1,124,62.0,88.0,0,124,14880.0,-1.0
344,1014,dailyfeats,36.0,2,2,130,65.0,24.0,48,82,69060.0,-1.0
345,1014,dailyfeats,43.0,2,1,87,44.0,36.0,18,69,1620.0,-1.0
346,1014,dailyfeats,6.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
347,1014,dailyfeats,11.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
348,1014,dailyfeats,30.0,1,1,93,93.0,0.0,93,93,-1.0,-1.0
349,1014,dailyfeats,35.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
350,1014,dailyfeats,37.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
351,1014,dailyfeats,39.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
352,1014,dailyfeats,44.0,1,1,8,8.0,0.0,8,8,-1.0,-1.0
353,1014,dailyfeats,49.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
354,1014,mantra,27.0,2,1,3,2.0,1.0,1,2,6480.0,-1.0
355,1014,mantra,28.0,2,1,9,4.0,2.0,3,6,120.0,-1.0
356,1014,mantra,22.0,1,1,59,59.0,0.0,59,59,-1.0,-1.0
357,1014,mantra,23.0,1,1,6,6.0,0.0,6,6,-1.0,-1.0
358,1014,mantra,25.0,1,1,7,7.0,0.0,7,7,-1.0,-1.0
359,1014,mantra,26.0,1,1,6,6.0,0.0,6,6,-1.0,-1.0
360,1014,mantra,36.0,1,1,35,35.0,0.0,35,35,-1.0,-1.0
361,1014,mantra,45.0,1,1,3,3.0,0.0,3,3,-1.0,-1.0
362,1014,messages,29.0,7,3,145,21.0,55.0,0,145,13330.0,21538.0
363,1014,messages,31.0,7,3,209,30.0,54.0,0,135,12600.0,15523.0
364,1014,messages,34.0,7,3,81,12.0,31.0,0,81,12450.0,15784.0
365,1014,messages,30.0,6,3,0,0.0,0.0,0,0,16008.0,15613.0
366,1014,messages,32.0,6,4,0,0.0,0.0,0,0,13176.0,15730.0
367,1014,messages,36.0,6,3,54,9.0,22.0,0,54,15744.0,15727.0
368,1014,messages,45.0,5,2,277,55.0,58.0,0,136,12660.0,24761.0
369,1014,messages,35.0,4,3,87,22.0,27.0,0,57,23760.0,25585.0
370,1014,messages,37.0,4,3,0,0.0,0.0,0,0,19640.0,15676.0
371,1014,messages,38.0,4,2,69,17.0,27.0,0,56,6840.0,8686.0
372,1014,messages,33.0,3,3,0,0.0,0.0,0,0,38550.0,24310.0
373,1014,messages,39.0,2,2,46,23.0,33.0,0,46,4740.0,-1.0
374,1014,messages,42.0,2,1,93,46.0,66.0,0,93,9600.0,-1.0
375,1014,messages,41.0,1,1,29,29.0,0.0,29,29,-1.0,-1.0
376,1014,messages,43.0,1,1,11,11.0,0.0,11,11,-1.0,-1.0
377,1014,messages,44.0,1,1,17,17.0,0.0,17,17,-1.0,-1.0
378,1014,relax,5.0,2,1,35,18.0,25.0,0,35,120.0,-1.0
379,1014,relax,7.0,2,1,39,20.0,12.0,11,28,120.0,-1.0
380,1014,relax,15.0,2,1,14,7.0,8.0,1,13,60.0,-1.0
381,1014,relax,6.0,1,1,3,3.0,0.0,3,3,-1.0,-1.0
382,1014,relax,9.0,1,1,18,18.0,0.0,18,18,-1.0,-1.0
383,1014,relax,10.0,1,1,74,74.0,0.0,74,74,-1.0,-1.0
384,1014,relax,13.0,1,1,9,9.0,0.0,9,9,-1.0,-1.0
385,1014,relax,16.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
386,1014,relax,19.0,1,1,41,41.0,0.0,41,41,-1.0,-1.0
387,1014,relax,21.0,1,1,51,51.0,0.0,51,51,-1.0,-1.0
388,1014,relax,24.0,1,1,13,13.0,0.0,13,13,-1.0,-1.0
389,1014,relax,31.0,1,1,24,24.0,0.0,24,24,-1.0,-1.0
390,1014,relax,45.0,1,1,4,4.0,0.0,4,4,-1.0,-1.0
391,1014,socialforce,22.0,3,1,0,0.0,0.0,0,0,90.0,42.0
392,1014,socialforce,23.0,3,2,87,29.0,35.0,2,69,41550.0,28723.0
393,1014,socialforce,25.0,3,2,62,21.0,25.0,2,49,11370.0,11158.0
394,1014,socialforce,27.0,3,2,8,3.0,1.0,2,4,8370.0,2588.0
395,1014,socialforce,28.0,2,2,45,22.0,29.0,2,43,77880.0,-1.0
396,1014,socialforce,34.0,1,1,3,3.0,0.0,3,3,-1.0,-1.0
397,1014,socialforce,35.0,1,1,3,3.0,0.0,3,3,-1.0,-1.0
398,1014,thoughtchallenger,23.0,7,2,98,14.0,14.0,2,33,10580.0,25240.0
399,1014,thoughtchallenger,8.0,6,2,262,44.0,44.0,0,116,14304.0,31315.0
400,1014,thoughtchallenger,10.0,6,1,249,42.0,26.0,13,74,1752.0,3382.0
401,1014,thoughtchallenger,17.0,5,1,142,28.0,23.0,0,55,975.0,1472.0
402,1014,thoughtchallenger,29.0,5,2,55,11.0,13.0,2,32,2925.0,3864.0
403,1014,thoughtchallenger,45.0,5,2,23,5.0,3.0,2,8,12630.0,24101.0
404,1014,thoughtchallenger,14.0,4,2,30,8.0,8.0,3,19,5120.0,7994.0
405,1014,thoughtchallenger,27.0,4,1,198,50.0,50.0,4,118,2240.0,1646.0
406,1014,thoughtchallenger,19.0,3,1,32,11.0,13.0,2,25,330.0,42.0
407,1014,thoughtchallenger,22.0,3,1,97,32.0,25.0,3,47,420.0,85.0
408,1014,thoughtchallenger,24.0,3,2,53,18.0,13.0,7,32,42060.0,53457.0
409,1014,thoughtchallenger,30.0,3,1,21,7.0,4.0,4,11,120.0,85.0
410,1014,thoughtchallenger,41.0,3,3,100,33.0,15.0,20,49,37380.0,36402.0
411,1014,thoughtchallenger,6.0,2,1,146,73.0,75.0,20,126,60.0,-1.0
412,1014,thoughtchallenger,16.0,2,1,42,21.0,1.0,20,22,420.0,-1.0
413,1014,thoughtchallenger,20.0,2,1,20,10.0,4.0,7,13,480.0,-1.0
414,1014,thoughtchallenger,26.0,2,1,32,16.0,17.0,4,28,480.0,-1.0
415,1014,thoughtchallenger,28.0,2,2,6,3.0,0.0,3,3,78000.0,-1.0
416,1014,thoughtchallenger,32.0,2,2,29,14.0,11.0,7,22,300.0,-1.0
417,1014,thoughtchallenger,39.0,2,1,7,4.0,1.0,3,4,420.0,-1.0
418,1014,thoughtchallenger,7.0,1,1,43,43.0,0.0,43,43,-1.0,-1.0
419,1014,thoughtchallenger,9.0,1,1,12,12.0,0.0,12,12,-1.0,-1.0
420,1014,thoughtchallenger,13.0,1,1,3,3.0,0.0,3,3,-1.0,-1.0
421,1014,thoughtchallenger,15.0,1,1,46,46.0,0.0,46,46,-1.0,-1.0
422,1014,thoughtchallenger,18.0,1,1,5,5.0,0.0,5,5,-1.0,-1.0
423,1014,thoughtchallenger,33.0,1,1,16,16.0,0.0,16,16,-1.0,-1.0
424,1014,thoughtchallenger,36.0,1,1,30,30.0,0.0,30,30,-1.0,-1.0
425,1014,thoughtchallenger,38.0,1,1,19,19.0,0.0,19,19,-1.0,-1.0
426,1014,thoughtchallenger,43.0,1,1,5,5.0,0.0,5,5,-1.0,-1.0
427,1014,worryknot,17.0,8,1,378,47.0,68.0,0,147,1157.0,2586.0
428,1014,worryknot,20.0,3,1,49,16.0,16.0,4,35,180.0,170.0
429,1014,worryknot,27.0,2,1,101,50.0,8.0,45,56,6540.0,-1.0
430,1014,worryknot,45.0,2,1,30,15.0,14.0,5,25,600.0,-1.0
431,1014,worryknot,18.0,1,1,121,121.0,0.0,121,121,-1.0,-1.0
432,1014,worryknot,19.0,1,1,22,22.0,0.0,22,22,-1.0,-1.0
433,1014,worryknot,23.0,1,1,177,177.0,0.0,177,177,-1.0,-1.0
434,1014,worryknot,25.0,1,1,88,88.0,0.0,88,88,-1.0,-1.0
435,1014,worryknot,28.0,1,1,48,48.0,0.0,48,48,-1.0,-1.0
436,1014,worryknot,33.0,1,1,3,3.0,0.0,3,3,-1.0,-1.0
437,1014,worryknot,39.0,1,1,4,4.0,0.0,4,4,-1.0,-1.0
438,1014,worryknot,49.0,1,1,89,89.0,0.0,89,89,-1.0,-1.0
439,1022,messages,21.0,9,3,79,9.0,26.0,0,79,8512.0,14748.0
440,1022,messages,25.0,8,3,127,16.0,29.0,0,68,9866.0,15469.0
441,1022,messages,31.0,7,3,74,11.0,28.0,0,74,13650.0,15576.0
442,1022,messages,26.0,5,3,0,0.0,0.0,0,0,18900.0,16360.0
443,1022,messages,27.0,5,3,0,0.0,0.0,0,0,18840.0,16080.0
444,1022,messages,28.0,5,3,0,0.0,0.0,0,0,18840.0,16240.0
445,1022,messages,29.0,5,3,0,0.0,0.0,0,0,19020.0,16444.0
446,1022,messages,32.0,5,3,0,0.0,0.0,0,0,18780.0,16282.0
447,1022,messages,30.0,4,3,0,0.0,0.0,0,0,23600.0,22950.0
448,1022,messages,22.0,2,2,0,0.0,0.0,0,0,10620.0,-1.0
449,1022,messages,33.0,2,2,0,0.0,0.0,0,0,10800.0,-1.0
450,1022,messages,8.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
451,1022,messages,9.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
452,1022,messages,10.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
453,1022,messages,14.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
454,1022,messages,19.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
455,1022,messages,20.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
456,1022,slumbertime,8.0,3,1,87,29.0,44.0,0,80,180.0,170.0
457,1022,slumbertime,21.0,3,2,160,53.0,91.0,0,158,25170.0,35511.0
458,1022,slumbertime,7.0,2,1,35,18.0,25.0,0,35,120.0,-1.0
459,1022,slumbertime,31.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
460,1024,boostme,33.0,3,1,7,2.0,4.0,0,7,1590.0,2079.0
461,1024,boostme,10.0,2,1,3,2.0,2.0,0,3,120.0,-1.0
462,1024,boostme,13.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
463,1024,boostme,15.0,1,1,51,51.0,0.0,51,51,-1.0,-1.0
464,1024,boostme,18.0,1,1,10,10.0,0.0,10,10,-1.0,-1.0
465,1024,boostme,34.0,1,1,9,9.0,0.0,9,9,-1.0,-1.0
466,1024,boostme,40.0,1,1,4,4.0,0.0,4,4,-1.0,-1.0
467,1024,dailyfeats,25.0,3,2,53,18.0,26.0,0,48,30840.0,41832.0
468,1024,dailyfeats,20.0,2,2,36,18.0,25.0,0,36,59940.0,-1.0
469,1024,dailyfeats,21.0,2,2,66,33.0,18.0,20,46,43380.0,-1.0
470,1024,dailyfeats,22.0,2,1,0,0.0,0.0,0,0,960.0,-1.0
471,1024,dailyfeats,24.0,2,1,24,12.0,17.0,0,24,180.0,-1.0
472,1024,dailyfeats,26.0,2,1,39,20.0,28.0,0,39,420.0,-1.0
473,1024,dailyfeats,27.0,2,1,48,24.0,34.0,0,48,300.0,-1.0
474,1024,dailyfeats,28.0,2,2,22,11.0,16.0,0,22,5580.0,-1.0
475,1024,dailyfeats,40.0,2,1,2,1.0,1.0,0,2,3300.0,-1.0
476,1024,dailyfeats,19.0,1,1,125,125.0,0.0,125,125,-1.0,-1.0
477,1024,dailyfeats,23.0,1,1,32,32.0,0.0,32,32,-1.0,-1.0
478,1024,dailyfeats,29.0,1,1,30,30.0,0.0,30,30,-1.0,-1.0
479,1024,dailyfeats,30.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
480,1024,dailyfeats,31.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
481,1024,dailyfeats,32.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
482,1024,dailyfeats,33.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
483,1024,dailyfeats,34.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
484,1024,dailyfeats,35.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
485,1024,dailyfeats,36.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
486,1024,dailyfeats,37.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
487,1024,dailyfeats,38.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
488,1024,dailyfeats,39.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
489,1024,dailyfeats,41.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
490,1024,dailyfeats,42.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
491,1024,dailyfeats,43.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
492,1024,dailyfeats,44.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
493,1024,dailyfeats,45.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
